20 70,20 70,20 70,20 70,20 70,20 70,20 70
degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4
n:20,n:20,n:20,n:20,n:20,n:20,n:20
elapsed time = 147 msec.,elapsed time = 155 msec.,elapsed time = 157 msec.,elapsed time = 153 msec.,elapsed time = 152 msec.,elapsed time = 162 msec.,elapsed time = 134 msec.
sum:878669,sum:892567,sum:894341,sum:855569,sum:866261,sum:880319,sum:875701
size:,size:,size:,size:,size:,size:,size:
0:0,0:0,0:0,0:0,0:0,0:0,0:0
1:0,1:0,1:0,1:0,1:0,1:0,1:0
2:0,2:0,2:0,2:0,2:0,2:0,2:0
3:9,3:5,3:5,3:8,3:1,3:11,3:1
4:265,4:196,4:277,4:206,4:136,4:282,4:142
5:2764,5:2645,5:2937,5:2167,5:2080,5:2788,5:2111
6:13931,6:14488,6:14758,6:11758,6:12212,6:14037,6:12552
7:42651,7:44833,7:44841,7:38365,7:40000,7:42982,7:41214
8:89780,8:93337,8:93317,8:84261,8:86908,8:90265,8:89086
9:139714,9:143278,9:143498,9:134716,9:137431,9:140116,9:139847
10:168073,10:170535,10:170912,10:164804,10:166744,10:168278,10:168565
11:160559,11:161778,11:162093,11:159013,11:160008,11:160624,11:160975
12:123566,12:123996,12:124160,12:123048,12:123412,12:123578,12:123773
13:76978,13:77081,13:77136,13:76861,13:76952,13:76979,13:77043
14:38684,14:38699,14:38710,14:38668,14:38682,14:38684,14:38696
15:15499,15:15500,15:15501,15:15498,15:15499,15:15499,15:15500
16:4845,16:4845,16:4845,16:4845,16:4845,16:4845,16:4845
17:1140,17:1140,17:1140,17:1140,17:1140,17:1140,17:1140
18:190,18:190,18:190,18:190,18:190,18:190,18:190
19:20,19:20,19:20,19:20,19:20,19:20,19:20
20:1,20:1,20:1,20:1,20:1,20:1,20:1
Graph G,Graph G,Graph G,Graph G,Graph G,Graph G,Graph G
0:18 16 13 11 ,0:19 9 5 3 ,0:17 12 7 3 ,0:16 12 10 5 ,0:16 15 12 4 ,0:18 17 14 13 ,0:18 14 12 2 
1:15 10 6 4 ,1:19 15 5 3 ,1:16 15 8 7 ,1:19 17 12 6 ,1:19 13 10 2 ,1:12 9 8 4 ,1:19 14 13 5 
2:17 16 14 13 ,2:19 18 14 7 ,2:17 9 5 4 ,2:18 12 7 6 ,2:15 14 10 7 1 ,2:19 15 13 4 ,2:19 16 15 4 0 
3:18 15 12 8 ,3:15 11 9 8 1 0 ,3:17 14 7 6 0 ,3:17 14 13 8 ,3:19 18 17 10 ,3:17 11 7 4 ,3:18 10 7 6 
4:17 15 7 6 1 ,4:19 11 7 6 ,4:19 12 10 9 2 ,4:18 17 15 5 ,4:18 15 12 9 0 ,4:10 9 7 5 3 2 1 ,4:17 13 11 10 2 
5:15 12 11 8 ,5:16 13 9 6 1 0 ,5:19 17 13 11 2 ,5:14 13 11 7 4 0 ,5:16 14 11 6 ,5:19 15 12 8 4 ,5:15 13 8 7 1 
6:17 11 9 7 4 1 ,6:19 13 11 8 5 4 ,6:19 15 13 11 3 ,6:16 14 12 7 2 1 ,6:18 15 13 7 5 ,6:17 12 9 7 ,6:19 11 8 7 3 
7:15 14 13 12 6 4 ,7:18 16 11 9 4 2 ,7:16 13 11 9 3 1 0 ,7:17 16 14 11 6 5 2 ,7:19 13 11 9 6 2 ,7:17 13 12 11 6 4 3 ,7:19 15 12 8 6 5 3 
8:19 17 15 9 5 3 ,8:17 16 12 10 6 3 ,8:16 15 14 13 1 ,8:17 13 12 11 3 ,8:19 17 13 11 ,8:17 16 14 11 5 1 ,8:18 17 13 10 7 6 5 
9:16 15 12 10 8 6 ,9:17 15 13 12 7 5 3 0 ,9:17 15 11 10 7 4 2 ,9:19 16 15 12 ,9:18 15 13 12 7 4 ,9:18 17 16 10 6 4 1 ,9:19 18 17 11 
10:18 17 16 12 9 1 ,10:17 16 15 14 8 ,10:18 17 13 12 9 4 ,10:18 15 14 12 0 ,10:18 17 14 11 3 2 1 ,10:19 15 14 12 9 4 ,10:18 14 13 11 8 4 3 
11:16 15 14 13 6 5 0 ,11:19 17 16 14 7 6 4 3 ,11:18 17 16 13 9 7 6 5 ,11:19 18 16 14 8 7 5 ,11:19 18 17 14 10 8 7 5 ,11:19 15 13 12 8 7 3 ,11:16 15 14 13 10 9 6 4 
12:19 17 15 14 10 9 7 5 3 ,12:16 15 14 13 9 8 ,12:17 16 15 13 10 4 0 ,12:18 17 15 13 10 9 8 6 2 1 0 ,12:18 16 14 13 9 4 0 ,12:17 15 14 13 11 10 7 6 5 1 ,12:18 16 14 13 7 0 
13:19 18 17 14 11 7 2 0 ,13:18 17 15 14 12 9 6 5 ,13:19 18 15 14 12 11 10 8 7 6 5 ,13:18 17 15 14 12 8 5 3 ,13:18 17 16 14 12 9 8 7 6 1 ,13:19 16 15 14 12 11 7 2 0 ,13:19 18 17 16 12 11 10 8 5 4 1 
14:19 18 17 16 13 12 11 7 2 ,14:19 18 16 15 13 12 11 10 2 ,14:19 17 16 15 13 8 3 ,14:19 18 17 16 13 11 10 7 6 5 3 ,14:19 17 16 15 13 12 11 10 5 2 ,14:18 17 16 15 13 12 10 8 0 ,14:18 17 16 15 12 11 10 1 0 
