,30 110,30 110,30 110,30 110,30 110,30 110
,degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4,degeneracy:4
,n:30,n:30,n:30,n:30,n:30,n:30
,elapsed time = 128381 msec.,elapsed time = 123206 msec.,elapsed time = 130680 msec.,elapsed time = 115120 msec.,elapsed time = 130089 msec.,elapsed time = 110425 msec.
,sum:828807337,sum:808568133,sum:826710573,sum:811466975,sum:827335047,sum:774247849
,size:,size:,size:,size:,size:,size:
,0:0,0:0,0:0,0:0,0:0,0:0
,1:0,1:0,1:0,1:0,1:0,1:0
,2:0,2:0,2:0,2:0,2:0,2:0
,3:0,3:0,3:0,3:0,3:0,3:0
,4:1,4:0,4:0,4:0,4:0,4:0
,5:56,5:7,5:34,5:53,5:36,5:41
,6:2172,6:807,6:1566,6:2674,6:2123,6:1851
,7:40248,7:22982,7:32562,7:45716,7:41160,7:31670
,8:376483,8:265285,8:334243,8:393365,8:384383,8:285232
,9:2106291,9:1677787,9:1980263,9:2088620,9:2134509,9:1603736
,10:7940882,10:6826106,10:7697766,10:7668870,10:7994972,10:6221097
,11:21846391,11:19725243,11:21505243,11:20900214,11:21897206,11:17784637
,12:46338762,12:43228066,12:45961752,12:44349385,12:46320807,12:39261237
,13:78780475,13:75141235,13:78435484,13:75799346,13:78633164,13:69267440
,14:110347414,14:106873967,14:110079502,14:106935885,14:110066182,14:100184648
,15:129840634,15:127098542,15:129663376,15:126748587,15:129488977,15:121042392
,16:130074003,16:128270787,16:129975021,16:127809317,16:129743901,16:123830413
,17:111926778,17:110937548,17:111880883,17:110573124,17:111683686,17:108277190
,18:83154454,18:82703417,18:83137145,18:82492767,18:83011856,18:81399017
,19:53451338,19:53281978,19:53446168,19:53188108,19:53384630,19:52761341
,20:29708340,20:29656782,20:29707163,20:29624156,20:29683677,20:29489735
,21:14230712,21:14218294,21:14230520,21:14209532,21:14223645,21:14176144
,22:5839675,22:5837397,22:5839655,22:5835630,22:5838158,22:5829328
,23:2034152,23:2033853,23:2034151,23:2033600,23:2033922,23:2032750
