25 50,25 50,25 50,25 50,25 50,25 50,25 50
degeneracy:3,degeneracy:3,degeneracy:3,degeneracy:3,degeneracy:3,degeneracy:3,degeneracy:3
n:25,n:25,n:25,n:25,n:25,n:25,n:25
elapsed time = 685 msec.,elapsed time = 905 msec.,elapsed time = 1075 msec.,elapsed time = 1337 msec.,elapsed time = 1020 msec.,elapsed time = 727 msec.,elapsed time = 984 msec.
sum:8718179,sum:10075055,sum:11050997,sum:13265637,sum:11024817,sum:8662869,sum:10413527
size:,size:,size:,size:,size:,size:,size:
0:0,0:0,0:0,0:0,0:0,0:0,0:0
1:0,1:0,1:0,1:0,1:0,1:0,1:0
2:0,2:0,2:0,2:0,2:0,2:0,2:0
3:0,3:0,3:0,3:0,3:0,3:0,3:0
4:0,4:0,4:0,4:0,4:0,4:0,4:0
5:1,5:0,5:0,5:0,5:0,5:0,5:0
6:41,6:0,6:3,6:22,6:12,6:3,6:6
7:711,7:105,7:285,7:855,7:566,7:250,7:418
8:6842,8:3450,8:5468,8:11612,8:8435,8:4120,8:6597
9:40407,9:34414,9:45527,9:79057,9:59652,9:31175,9:48386
10:158377,10:171977,10:209160,10:319071,10:245608,10:138620,10:207483
11:437327,11:525766,11:611329,11:851986,11:666444,11:409420,11:585326
12:889270,12:1098728,12:1243526,12:1621576,12:1289541,12:863856,12:1170583
13:1375908,13:1681265,13:1868297,13:2315378,13:1875015,13:1364357,13:1746833
14:1659333,14:1969673,14:2158210,14:2568705,14:2122158,14:1663950,14:2016149
15:1586976,15:1818728,15:1968988,15:2266897,15:1913662,15:1600193,15:1844586
16:1217520,16:1347712,16:1442907,16:1615137,16:1394807,16:1229979,16:1358983
17:753869,17:809202,17:857057,17:936313,17:827710,17:761266,17:812996
18:377027,18:394649,18:413556,18:442314,18:400299,18:380060,18:395605
19:151560,19:155652,19:161411,19:169478,19:156944,19:152425,19:155822
20:48405,20:49061,20:50369,20:52059,20:49269,20:48570,20:49080
21:12032,21:12097,21:12306,21:12555,21:12118,21:12051,21:12098
22:2249,22:2252,22:2273,22:2296,22:2253,22:2250,22:2252
23:298,23:298,23:299,23:300,23:298,23:298,23:298
24:25,24:25,24:25,24:25,24:25,24:25,24:25
25:1,25:1,25:1,25:1,25:1,25:1,25:1
Graph G,Graph G,Graph G,Graph G,Graph G,Graph G,Graph G
0:23 ,0:15 ,0:12 ,0:18 9 ,0:15 ,0:17 ,0:11 
1:15 ,1:12 ,1:16 2 ,1:16 14 ,1:2 ,1:21 ,1:2 
2:11 7 ,2:19 17 ,2:18 1 ,2:17 3 ,2:14 1 ,2:9 5 ,2:8 1 
3:23 20 ,3:22 4 ,3:14 5 ,3:22 5 2 ,3:15 4 ,3:15 14 ,3:24 7 
4:20 5 ,4:9 5 3 ,4:24 20 ,4:17 5 ,4:22 10 3 ,4:12 5 ,4:20 10 
5:23 14 4 ,5:18 8 4 ,5:12 10 6 3 ,5:6 4 3 ,5:13 8 6 ,5:7 4 2 ,5:20 12 6 
6:22 7 ,6:21 13 7 ,6:18 7 5 ,6:17 14 12 5 ,6:18 12 5 ,6:23 7 ,6:17 7 5 
7:21 11 6 2 ,7:13 9 8 6 ,7:21 14 6 ,7:24 23 8 ,7:17 16 8 ,7:24 15 8 6 5 ,7:19 16 6 3 
8:20 12 ,8:23 10 7 5 ,8:24 11 9 ,8:11 9 7 ,8:10 9 7 5 ,8:12 9 7 ,8:19 12 9 2 
