30 0,30 0,30 0,30 0,30 0,30 0,30 0,30 0,30 0,30 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:30,n:30,n:30,n:30,n:30,n:30,n:30,n:30,n:30,n:30
dominated:11 13 10 8 10 13 8 11 9 13 10 13 9 14 11 29 28 25 25 16 19 20 20 20 18 16 14 15 15 15 ,dominated:10 11 14 7 14 11 9 12 7 6 10 7 8 7 6 30 29 28 27 26 25 24 22 21 21 20 18 18 16 16 ,dominated:10 13 9 12 13 11 9 8 8 10 10 9 6 7 7 30 29 28 27 26 25 23 22 19 20 20 19 18 16 16 ,dominated:13 11 12 12 11 9 13 10 6 13 8 10 11 8 12 30 28 27 26 22 20 19 20 17 17 17 16 15 14 15 ,dominated:12 13 10 13 6 10 10 12 9 10 11 11 5 5 6 30 29 28 27 24 25 23 23 22 20 19 18 17 16 16 ,dominated:15 14 13 9 10 12 10 10 11 7 15 5 11 7 12 29 27 24 25 25 21 17 18 18 17 16 15 16 15 16 ,dominated:11 14 13 10 8 14 13 9 4 12 13 9 9 10 8 28 29 26 25 24 21 19 16 19 20 17 16 17 15 15 ,dominated:12 11 9 10 11 6 8 11 9 11 13 10 9 9 11 30 29 28 26 25 22 20 21 17 19 17 18 17 16 13 ,dominated:14 8 11 9 9 12 10 13 10 11 9 10 9 7 7 30 28 28 26 25 23 23 20 21 19 19 18 17 17 15 ,dominated:5 9 11 5 13 11 15 11 14 12 13 12 9 10 15 26 27 26 23 20 19 17 17 19 19 16 17 17 14 16 
36371,33672,35751,40061,35001,39953,35334,35655,36896,27132
1058765301,1020387361,1035295961,1047308159,988783545,1024714171,996707765,1044842865,1050981497,1007451675
0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,0
19,39,41,41,36,18,16,40,44,10
552,672,728,794,595,504,488,707,849,389
7245,7017,7698,8652,6112,6480,6102,7589,9243,5570
59058,50632,55646,62875,44017,51139,47288,55993,66593,46095
333937,271413,296979,333749,237360,283795,260907,304124,348731,261677
1405408,1131650,1228519,1363475,999711,1193569,1099221,1272395,1406893,1113881
4632371,3788015,4072379,4445632,3387443,3981686,3687962,4237932,4543862,3747004
12391651,10416230,11080232,11883432,9437960,10856638,10130708,11523032,12066806,10292326
27583247,23939201,25193745,26569215,21983028,24706165,23236819,26085808,26863004,23590579
52018277,46597448,48536597,50439689,43355506,47638439,45155064,49935290,50853827,45809879
84202722,77609951,80078727,82226685,73120512,78705169,75158948,81819195,82744349,76203246
118090445,111480703,114078658,116067367,106259959,112341209,108033449,115818026,116636276,109470825
144412998,138926462,141188213,142702371,133816680,139369390,134903209,142593699,143242396,136601568
154612700,150838237,152464788,153412545,146630228,150887494,146933281,153385485,153847020,148643472
145215755,143068379,144030860,144516914,140160650,142897822,139913637,144519165,144808499,141370867
119691322,118686749,119152214,119354945,117009813,118479364,116567459,119360660,119516024,117611086
86475310,86092707,86274776,86342651,85292168,85946029,84912757,86345545,86414946,85536481
54623737,54506940,54563654,54581505,54194346,54432642,53965832,54582372,54607447,54274220
30044508,30016602,30030346,30033906,29918442,29988361,29814262,30034072,30041180,29938944
14307104,14302075,14304574,14305081,14277891,14293995,14241323,14305100,14306619,14281870
5852923,5852280,5852601,5852647,5847777,5850579,5837973,5852648,5852878,5848326
2035800,2035748,2035774,2035776,2035152,2035498,2033200,2035776,2035798,2035200
593775,593773,593774,593774,593723,593750,593450,593774,593775,593725
142506,142506,142506,142506,142504,142505,142480,142506,142506,142504
27405,27405,27405,27405,27405,27405,27404,27405,27405,27405
4060,4060,4060,4060,4060,4060,4060,4060,4060,4060
435,435,435,435,435,435,435,435,435,435
30,30,30,30,30,30,30,30,30,30
1,1,1,1,1,1,1,1,1,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

